project_title,project_objectives,start_date,end_date,ndp_pillar,primary_sector,reporting_agency,funders,implementers,implementer_category,mtdf,project_value,project_url,year,amount_disbursed,recipient
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2017,302375,Puntland
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2017,151188,South West
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2017,151188,Somaliland
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2018,2100000,FGS
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2018,150000,Galmudug
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2018,150000,Jubaland
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2018,300000,Puntland
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2018,150000,South West
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,11/3/15,4/2/18,Pillar 6: Infrastructure,Energy and ICT,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK)","Government counterparts, AfricaConnect, WB",Mix of implementers - involving government,Other (Please Specify),14000000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia,2018,150000,Somaliland
Educate a child - 2,Basic education for Out of school children,4/24/13,4/2/18,Pillar 7: Social & Human Development,Education,UNICEF,QATAR,UNICEF,UN,Not funded through MDTF,8269540,Not available,2016,1882074,Hiirshabelle
Educate a child - 2,Basic education for Out of school children,4/24/13,4/2/18,Pillar 7: Social & Human Development,Education,UNICEF,QATAR,UNICEF,UN,Not funded through MDTF,8269540,Not available,2016,823408,Puntland
Educate a child - 2,Basic education for Out of school children,4/24/13,4/2/18,Pillar 7: Social & Human Development,Education,UNICEF,QATAR,UNICEF,UN,Not funded through MDTF,8269540,Not available,2016,1215506,Somaliland
Educate a child - 2,Basic education for Out of school children,4/24/13,4/2/18,Pillar 7: Social & Human Development,Education,UNICEF,QATAR,UNICEF,UN,Not funded through MDTF,8269540,Not available,2017,1445268,Hiirshabelle
Educate a child - 2,Basic education for Out of school children,4/24/13,4/2/18,Pillar 7: Social & Human Development,Education,UNICEF,QATAR,UNICEF,UN,Not funded through MDTF,8269540,Not available,2017,632305,Puntland
Educate a child - 2,Basic education for Out of school children,4/24/13,4/2/18,Pillar 7: Social & Human Development,Education,UNICEF,QATAR,UNICEF,UN,Not funded through MDTF,8269540,Not available,2017,933403,Somaliland
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,FGS
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,Galmudug
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,Hiirshabelle
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,Jubaland
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,Puntland
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,South West
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2016,906767,Somaliland
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,FGS
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,Galmudug
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,Hiirshabelle
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,Jubaland
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,Puntland
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,South West
Support to building inclusive institutions of Parliament in Somalia,"Priority 1: Advance inclusive political dialogue to clarify and settle relations between the federal government and existing and emerging administrations and initiate processes of social reconciliation to restore trust between communities.
Priority 2: Finalize and adopt a Federal Constitution by December 2015.",3/3/13,12/3/16,Pillar 1: Inclusive Politics,Inclusive Politics,UNDP,"DFID, European Commission, Norway, SIDA, UNDP",UNDP,UN,UN Multi-Partner Trust Fund (MPTF),14600000,http://www.so.undp.org/,2017,428572,Somaliland
Strengthening Education and Training in Somalia (SETS),"This action specifically seeks to support the local government both at national and state levels to address its education priorities and inclusive education needs in Banadir region, Jubbaland, South West, Galmudug and Hir-Shabelle states. It is expected to contribute to a conducive environment for returnees, IDPs, pastoralists and other groups to be re-integrated in the education system. Minority groups, children, women, persons with disability, girls and youth will be targeted for inclusive quality education and vocational training services, in order for them to participate in activities leading to poverty reduction, and a peaceful, secure and democratic Somalia. The action is planned to expand availability and accessibility to equitable and inclusive education services for all population groups as result of improved governance and evidence-based management of education at all levels (school, district, regional and national). The participation of parents, teachers, learners, private sector and key community members for mobilisation of the larger national and international public to support advancement of education and vocational skills services constitutes a major strategy the action will pursue to achieve increased acceptability and adaptability and therefore success.",NA,NA,Pillar 7: Social & Human Development,Education,EU,EU,ADRA Deutschland EV,NGOs,Not funded through MDTF,8333334,NA,2017,598864,Benadir
Strengthening Education and Training in Somalia (SETS),"This action specifically seeks to support the local government both at national and state levels to address its education priorities and inclusive education needs in Banadir region, Jubbaland, South West, Galmudug and Hir-Shabelle states. It is expected to contribute to a conducive environment for returnees, IDPs, pastoralists and other groups to be re-integrated in the education system. Minority groups, children, women, persons with disability, girls and youth will be targeted for inclusive quality education and vocational training services, in order for them to participate in activities leading to poverty reduction, and a peaceful, secure and democratic Somalia. The action is planned to expand availability and accessibility to equitable and inclusive education services for all population groups as result of improved governance and evidence-based management of education at all levels (school, district, regional and national). The participation of parents, teachers, learners, private sector and key community members for mobilisation of the larger national and international public to support advancement of education and vocational skills services constitutes a major strategy the action will pursue to achieve increased acceptability and adaptability and therefore success.",NA,NA,Pillar 7: Social & Human Development,Education,EU,EU,ADRA Deutschland EV,NGOs,Not funded through MDTF,8333334,NA,2017,598864,Galmudug
Strengthening Education and Training in Somalia (SETS),"This action specifically seeks to support the local government both at national and state levels to address its education priorities and inclusive education needs in Banadir region, Jubbaland, South West, Galmudug and Hir-Shabelle states. It is expected to contribute to a conducive environment for returnees, IDPs, pastoralists and other groups to be re-integrated in the education system. Minority groups, children, women, persons with disability, girls and youth will be targeted for inclusive quality education and vocational training services, in order for them to participate in activities leading to poverty reduction, and a peaceful, secure and democratic Somalia. The action is planned to expand availability and accessibility to equitable and inclusive education services for all population groups as result of improved governance and evidence-based management of education at all levels (school, district, regional and national). The participation of parents, teachers, learners, private sector and key community members for mobilisation of the larger national and international public to support advancement of education and vocational skills services constitutes a major strategy the action will pursue to achieve increased acceptability and adaptability and therefore success.",NA,NA,Pillar 7: Social & Human Development,Education,EU,EU,ADRA Deutschland EV,NGOs,Not funded through MDTF,8333334,NA,2017,598864,Hiirshabelle
Strengthening Education and Training in Somalia (SETS),"This action specifically seeks to support the local government both at national and state levels to address its education priorities and inclusive education needs in Banadir region, Jubbaland, South West, Galmudug and Hir-Shabelle states. It is expected to contribute to a conducive environment for returnees, IDPs, pastoralists and other groups to be re-integrated in the education system. Minority groups, children, women, persons with disability, girls and youth will be targeted for inclusive quality education and vocational training services, in order for them to participate in activities leading to poverty reduction, and a peaceful, secure and democratic Somalia. The action is planned to expand availability and accessibility to equitable and inclusive education services for all population groups as result of improved governance and evidence-based management of education at all levels (school, district, regional and national). The participation of parents, teachers, learners, private sector and key community members for mobilisation of the larger national and international public to support advancement of education and vocational skills services constitutes a major strategy the action will pursue to achieve increased acceptability and adaptability and therefore success.",NA,NA,Pillar 7: Social & Human Development,Education,EU,EU,ADRA Deutschland EV,NGOs,Not funded through MDTF,8333334,NA,2017,598864,Jubaland
Strengthening Education and Training in Somalia (SETS),"This action specifically seeks to support the local government both at national and state levels to address its education priorities and inclusive education needs in Banadir region, Jubbaland, South West, Galmudug and Hir-Shabelle states. It is expected to contribute to a conducive environment for returnees, IDPs, pastoralists and other groups to be re-integrated in the education system. Minority groups, children, women, persons with disability, girls and youth will be targeted for inclusive quality education and vocational training services, in order for them to participate in activities leading to poverty reduction, and a peaceful, secure and democratic Somalia. The action is planned to expand availability and accessibility to equitable and inclusive education services for all population groups as result of improved governance and evidence-based management of education at all levels (school, district, regional and national). The participation of parents, teachers, learners, private sector and key community members for mobilisation of the larger national and international public to support advancement of education and vocational skills services constitutes a major strategy the action will pursue to achieve increased acceptability and adaptability and therefore success.",NA,NA,Pillar 7: Social & Human Development,Education,EU,EU,ADRA Deutschland EV,NGOs,Not funded through MDTF,8333334,NA,2017,598864,South West
Construction of Barawe Airstrip,Address the economic and social drivers of conflict and violent extremism,4/14/17,11/13/17,Pillar 6: Infrastructure,Mixed Infrastructure,SSF,"UK, Sweden, Denmark, Netherlands and Norway",BUBAL,Private Sector,Somalia Stability Fund (SSF),2982612,N/A,2017,2982612,South West
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,149969,Benadir
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,149969,Galmudug
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,299938,Hiirshabelle
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,149969,Jubaland
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,224954,Puntland
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,149969,South West
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2016,374922,Somaliland
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,294652,Benadir
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,294652,Galmudug
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,589304,Hiirshabelle
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,294652,Jubaland
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,441978,Puntland
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,294652,South West
More communities use sustained WASH services and are empowered to stop harmful sanitation and hygiene behaviours.,"To establish the sustainable WASH facilities in Health centres, schools and communities in Somalia",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,UNICEF - GC,"UNICEF, MOH, MOWR,IMWSC, MOE",Mix of implementers - involving government,Not funded through MDTF,4616708,Not available,2017,736630,Somaliland
South West State - Drought recovery,Drought Recovery & Resilience in South West State,7/2/17,7/2/19,Pillar 8: Resilience,Cross-cutting resilience,EU,EU,WORLD VISION DEUTSCHLAND EV,NGOs,Not funded through MDTF,5555556,NA,2017,2897107,South West
South West State - Drought recovery,Drought Recovery & Resilience in South West State,7/2/17,7/2/19,Pillar 8: Resilience,Cross-cutting resilience,EU,EU,WORLD VISION DEUTSCHLAND EV,NGOs,Not funded through MDTF,5555556,NA,2018,666667,South West
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2016,1144579,FGS
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2016,1001507,Benadir
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2016,143073,Galmudug
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2016,286145,Jubaland
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2016,286145,South West
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2017,1144579,FGS
Facilitating Sustainable Return through Laying Foundations for Somalia in the Horn of Africa (“FLASH”),"The objective of the project is to contribute to a sustainable and durable reintegration of refugees and IDPs in Somalia and to anchor populations within Somalia by realizing the following outcomes: 
Outcome 1: Increased capacity of the government to provide immediate assistance to the returning population and deliver reintegration support.
Outcome 2: Improved monitoring and planning of population movement and displacement.
Outcome 3: Improved migration management and governance of mixed migration flows through capacity building of an inter-ministerial working group on migration.",9/3/16,9/2/18,Pillar 8: Resilience,"Migration, Displacement, Refugees and Durable Solutions",IOM,European Union,"IOM, Banadir Regional Administration, National Commission for Refugees and IDPs, Office of Prime Minister/Special Envoy",UN,Not funded through MDTF,6024097,NA,2017,1001507,Benadir
