date,year,target,fatalities,count,injuries,district,location,latitude,longitude,notes
8/31/14,2014,Government,10,1,11,Bondhere,Bondhere,2.0456,45.34,A group of al Shabaal fighters in NISA uniform carried out a complex attack against Godka Jilicow (NISA detention centre) in Bondheere District in the morning of 31/08. The incident started with a VBIED attack against the exterior gate to pave the way for armed men to enter the facility. Apparently a second VBIED detonated at the second barrier allowing seven al Shabaab fighters to enter the premises and engaged serious exchange of gunfire with NISA forces which lasted up to 13:00 noon. Alpha group was called in and managed to kill the remaining al Shabaab fighters. Reports indicate that the NISA commander for Banadir Region and his deputy were in the premises when the incident happened. Both officers escaped unhurt. Further reports suggest that the attack was designed to release number of al Shabaab operatives accused of killing a guard at Xamar Weyne prison and recently transferred to Godka Jilicow after they were convicted to death sentences. Seven al Shabaab attackers and three NISA soldiers were killed in the attack while 11 other NISA soldiers were injured. Available information confirmed that none of the al Shabaab attackers were wearing suicide belt/vest.
7/8/14,2014,Government,4,1,10,Wardhigley,Villa Somalia,2.0411,45.3368,Al Shabaab fighters in SNG forces uniform carried out a complex attack against Villa Somalia (Wardhiigley District) in the evening of 08/07. Reports indicate that a group of al Shabaab fighters using a Toyota NOAH managed to pass the first two security check-points and detonated a VBIED at the main gate. Immediately another group of al Shabaab fighters with a pick-up arrived and started shooting the security guards and managed to penetrate inside the premises. The group that managed to enter the Villa Somalia engaged fighting with security forces which lasted for about an hour in the area of the Prime Ministers office. Available information suggests that the attackers started shooting the light bulbs leading darkness and confusion. Unconfirmed reports indicate that an employee for a local telecommunication company and a son of the imam in Villa Somalia mosque had reportedly facilitated the attack and apparently transported the attackers. SNG Minister of Information stated that they apprehended one of the al Shabaab attackers with injuries. Four soldiers were killed while unspecified numbers were injured in the VBIED attack and subsequent shooting. The president was in protected area of AMISOM during the attack. Al Shabaab fighters claimed its responsibility.
7/5/14,2014,Government,5,1,10,Howl Wadaag,Hawl Wadaag,2.048,45.32,"A VBIED targeted the Somalia Parliament gate facing Sayidka Junction of (Hawl-Wadaag and Wardhiigley Districts) in the morning of 05/07. Reports indicate that the VBIED (Toyota NOAH) driven by a suicide bomber was targeting the parliament and when the security guards, including AMISOM, stopped at the gate to be checked prompting the explosion. Meanwhile the parliament was in a session when the attack took place and the MPs were been evacuated safely. Five people -two of them children from Sayidka IDPs - were killed. Al Shabaab claimed the attack, claiming 32 deaths."
5/24/14,2014,Government,15,1,30,Wardhigley,Warta Nabada,2.0549,45.33,"A group of al Shabaab fighters (unspecified numbers), some of whom were dressed in SNG uniforms, launched a complex attack against the Somali parliament. The attack started with a VBIED targeted the parliament building in Wardhiigleey District in the morning of 24/05. Reports indicate that a car laden with explosives and driven by a suicide bomber detonated in front of the parliament, followed by a group of al Shabaab fighters who managed to enter an unoccupied section of the building and engaged fighting with the security forces which lasted for about three to four hours. SNG various security agencies and AMISOM forces along with emergency medical personnel were deployed to the incident scene. Further reports suggest that the attackers were more than 10 men dressed in SNG military uniform with suicide vests. Nearly 150 MPs that were sitting in the Parliament for a session during the incident were safely evacuated from the building. More than 15 people were killed including the attackers, while at least 30 others -among them three Parliament members- were injured. Al Shabaab fighters took responsibility for the attack saying that their martyrs carried out the attack and killed many apostate MPs. In February al Shabaab fighters carried out an attack against Villa Somalia in the same manner."
3/15/14,2014,Civilians,1,1,4,Xamar Weyne,SYL Hotel,2.0414,45.3337,"A car bomb went off on in central Mogadishu near a hotel popular with government officials and businessmen. Witnesses saw casualties being carried from the scene of the blast, but it was not clear if they were injured or dead. The bomber driving the car has been confirmed dead."
2/27/14,2014,Civilians,12,1,10,Shibis,Shibis,2.0476,45.35,"Al Shabaab forces detonate a car bomb outside a popular restaurant, killing nine civilians and three soldiers. It is not clear if the intended target was military or civilian, though the restaurant was near the headquarted of the Somali NSA."
2/21/14,2014,Civilians,26,1,10,Wardhigley,Villa Somalia,2.0411,45.3368,"A complex attack was carried out in Villa Somalia (presidential palace) in Wardhiigley District in the afternoon of 21/02. The attack started with a VBIED against the rear gate of the palace at 12:40 followed by another VBIED at 12:58 at the same place. A vehicle carrying 11 armed men in presidential guards uniforms manage to enter the compound and engaged in a serious exchange of gunfire with Somali/AMISOM forces. A PBIED also detonated opposite the Uganda House in the compound. Reports indicate that the attackers were targeting Uganda House and the Mosque inside the palace. A former NSA general, two protocol staff of the prime ministers office, two Somali soldiers, a Djiboutian national and NSA driver were reportedly killed in the attack. All the attackers were killed in the compound. Casualties from the AMISOM side could not be established. The al Shabaab spokesman, Sheikh Ali Mohamud Raage, ""Ali Dheere"" on 21/08 claimed that al Shabaab fighters had carried out the attack and killed many Somali officials. He said that the operation targeted the Somali president, who escaped unhurt. The al Shabaab governor for Banaadir Region, Sheikh Ali Jabel, on 23/02 declared to the media that al Shabaab fighters had killed 51 people in the attack. He said that among the dead were Ugandans, Djiboutians and Somali officials."
2/13/14,2014,Civilians,7,1,15,Waaberi,Airport,2.0095,45.25,"A car bomb has exploded near Mogadishu airport, killing at least seven people and wounding 15 others. Al Shabaab later claimed responsibility, stating the target was a UN convoy."
1/1/14,2014,Government,10,1,37,Wadajir,Hotel Jazeera,2.0205,45.2897,"Ten are killed and 37 injured when a car bomb rammed into the car of a military commander parked next to the hotel Jazeera, near the UN complex. Reports indicate that military forces or escorts of government officials in the area shot at each other in the chaos after the initial explosion. Following the explosion and second blast occurred when ambulances gathered to aid the hurt. Al Shabaab later claimed responsibility for the attack."
11/8/13,2013,Civilians,4,1,5,Hodan,Hodan,2.0333,45.35,"Four are killed, including a government official, who was the intended target, and five injured after a car bomb exploded in the evening hours next to a hotel in Mogadishu. Al Shabaab later claimed responsibility. Other reports hold a varying range of deaths."
9/7/13,2013,Civilians,18,2,40,Xamar Weyne,Xamar Weyne,2.0337,45.34,"On 07/09 at around 13:40 two explosions were reported from Village Restaurant in the vicinity of the National Theatre (Xamar-Weyne District) in Mogadishu. Unconfirmed reports indicate that the two explosions were caused by a VBIED and possibly a second suicide bomber on foot. Initial reports indicate that casualties could exceed 18, plus 40 wounded. AMISOM and Somali forces were dispatched to the scene immediately after the attack. Al Shabaab later claimed responsibility. Rumours linger the adjacent hotel was a hub for spies working for CIA and MI5."
9/4/13,2013,Civilians,1,1,1,Hodan,Hodan,2.0333,45.35,"A ""would-be- suicide"" bomber targeting a police checkpoint was blown off before he could reach his target in Mogadishus Hodan district near Shaykh Ali Sufi mosque."
7/27/13,2013,Civilians,4,1,10,Hodan,Hodan,2.0333,45.35,"Al Shabaab conducted an attack against the Turkish Guest-house in Taleex Neighbourhood of Hodan District in the afternoon of 27/07. The attack was initiated by an explosion of a suicide vehicle (VBIED) on the main road between the guest-house and Shifa Hospital. It is unclear if the vehicle exploded on the road or attempted to ram against the wall/gate of the compound. The explosion was followed by a fire fight during which two other suicide bombers on foot were shot dead. The situation was pacified and the al Shabaab forces failed to gain entry to the compound. Somalias prime minister says a Turkish security official and a Somali student were killed in the attack. Additionally, six Turkish nationals and an unknown number of civilian bystanders were reportedly severely wounded in the attack. Other reports claim Turkish deaths."
7/11/13,2013,AMISOM,4,1,2,Wadajir,UNCC,2.0414,45.3337,A suicide bomber detonated his explosives near a moving convoy of African Union troops killing himself and three civilian bystanders. Two soldiers wounded. The attack occurred near the airport.
6/19/13,2013,Civilians,22,1,10,Wadajir,UNCC,2.0414,45.3337,"Al Shabaab attacks a United Nations compound located along the Airport-K4 road in Mogadishu starting at around 11:30 in the morning. Reports indicate that the attack was initiated with a PBIED or VBIED attack against the front gate of the compound, followed up with small arms fire. A total of three to five explosions were reported from the compound area between 11:30 and 12:54. Two al Shabaab operatives wearing suicide vests were killed by UN guard before they were able to detonate their ordinances. At least 22 confirmed deaths, including two Britons and three South Africans. Al Shabaab formally claimed responsibility for the attack."
5/5/13,2013,Civilians,11,1,10,Hodan,KM4,2.0316,45.3107,"An al Shabaab vehicle borne IED targeted a government Interior Ministry convoy carrying a Qatari delegation. The members of the delegation escaped unhurt, though there were at least 11 bystander deaths reported, including nearby soldiers. Some reports have the number of dead at 12. Many others injured. Al Shabaab claimed responsibility and stated that the target was the Minister of Interior and mercenaries."
4/14/13,2013,Civilians,35,1,10,Xamar Weyne,Xamar Weyne,2.0337,45.34,"A group of nine al Shabaab fighters, including three suicide bombers (personal borne IED), launched an attack against the Banadir Regional administration building and courthouse in Hamar-Weyne District, Mogadishu. Following the initial explosions, the remaining al Shabaab personal opened fire on the people inside the complex. Following the attacks, an explosive laden vehicle drove to the scene and detonated. More than 50 government solders were deployed to the area in response. At least sixteen deaths initially, with the death total reaching 35 the following day, including all nine attackers. The following day an explosive was discovered in a vehicle outside the courthouse and disabled. There was also a bomb discover outside the home of a military general (Hodan District). Authorities speculate these were supposed to detonate along with the others, but failed to do so."
4/14/13,2013,Civilians,4,1,1,Wadajir,Medina,2.0205,45.2897,"A vehicle carrying a Turkish delegation to the airport is attacked by a suicide bomber causing at four deaths, including the driver, two security guards (unconfirmed) and a woman bystander. The actual target of the attack is unconfirmed, and may have been the airport itself. It is speculated this attack and the attack on the courthouse in Hamar Weyne area of the city were coordinated."
3/21/13,2013,Government,1,1,1,Howl Wadaag,Hawl Wadaag,2.048,45.32,A suspected al Shabaab suicide bomber detonates an explosives next to a police post in Bakara Market. At lest one confirmed civilian death.
3/18/13,2013,Civilians,10,1,15,Wardhigley,Warta Nabada,2.0549,45.33,"A vehicle laden with explosives detonates near a bus outside the National Theatre building, causing the death of ten, including a journalist, and injuring fifteen others. Al Shabaab claimed responsibly for the attack, claiming their target was a government official of Banaadir Region, Ahmed Khalif ""Ereg"", in an effort of revenge for the death of al Shabaab fighters in recent days. Other reports have the causality count numbering 35."
1/29/13,2013,Civilians,6,1,10,Wardhigley,Villa Somalia,2.0411,45.3368,"An al Shabaab fighter who had recently defected to Somali government forces detonated a suicide vest outside the Somali presidential building in Mogadishu, presumably targeting government officials. Two presidential guard soldiers killed, along with three others, plus the bomber. Several others injured. The blast was near the offices of the President and Prime Minister. Al Shabaab later claims responsibility for the attack."
9/20/12,2012,Civilians,17,1,30,Xamar Weyne,Hooyoyinka - Baar Village,,,"Two AS fighters conduct suicide attack at Village Restaurant near Hooyooyinka, opposite the National Theater. The attack claimed the lives of prominent Somali journalists including Liiban Cali Nuur and Abdisatar Daahir Sabriye and around 8 other jouranalists were injured in the attack. "
9/12/12,2012,Civilians,11,1,7,Wadajir,Hotel Jazeera,2.0414,45.3337,"Newly elected President Hassan Sheikh Mahamud, former Prime Minister Abdiweli Mohamed Ali Gaas and Kenyan Foreign Minister Sam Ongeri survived multiple bomb blasts in Mogadishu on Wednesday, Garowe Online reports."
8/2/12,2012,Government,2,1,1,Xamar Jaabjab,Sheelare,2.0414,45.3337,Al-Shabab has said it has managed to successfully carry out suicide attacks at the venue in which the new Somali constitution was being endorsed yesterday. Two men with explosives came close to staging suicide attacks inside the venue where the new Somali constitution was being endorsed and detonated the explosives after being stopped at the front gates.
4/4/12,2012,Civilians,9,1,28,Wardhigley,National Theatre,2.0414,45.3337,"A female suicide bomber detonated her explosive devices inside the Mogadishu national theater around 11:30 am local time. 9 killed, 28 injured."
