event_date,year,event,strike_by,target,state,region,district,location,latitude,longitude,source,notes,fatalities,civilian_casualties,
3-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Bossaso,11.2837,49.1806,Local Source Project,"03 March, c. 1900 hrs. Puntland forces conducted airstrikes against al Shabaab in Balikhadar, Majiyahan, Macag and Madashon. Six al Shabaab fighters were killed in the Majiyahan area.",6,0,
1-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Bandar Salaam,0.3639,42.7706,Local Source Project,"01 March. Anti-al Shabaab aircraft (origin not known, though US air forces have recently operated in the area) strike Bandar Salam village. Target destroyed. Causalities not known.",0,0,
26-Feb-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Local Source Project,"US air forces conducted an airstrike against suspected al Shabaab targets in Jilib town (c. 105 km north east of Kismayo). The warplanes targeted an al Shabaab central base in the town and an al Shabaab checkpoint near Gududayda neighbourhood located north east of Jilib town. Initial reports indicate that the checkpoint was destroyed. Two al Shabaab dead, one wounded.",2,0,
25-Feb-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Buaale,Buaale,1.2448,42.5732,Radio Kulmiye,"Sustained air strikes have been targeting areas in Lower and Middle Jubba regions in ""recent days"" (source dated 25/02). Affected areas include Jilib, Bu'ale, and Berhani. Several bases destroyed, 20 al Shabaab dead. (3 dead accounted for in Jilib on 19/02.)",8,0,
25-Feb-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Berhani,0.7,43.1,Radio Kulmiye,"Sustained air strikes have been targeting areas in Lower and Middle Jubba regions in ""recent days"" (source dated 25/02). Affected areas include Jilib, Bu'ale, and Berhani. Several bases destroyed, 20 al Shabaab dead. (3 dead accounted for in Jilib on 19/02.)",9,0,
21-Feb-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Jamaame,0.0692,42.7382,"Local Source Project; United States Department of State (Washington, DC)",US airstrike targets al Shabaab positions. The US State Department claims the strike took place on 21/02 and killed 4 al Shabaab.,4,0,
19-Feb-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Local Source Project,"19th February, Jilib, Middle Jubba: U.S. Africa Command carried out a drone strike resulting in three militant deaths.",3,0,
11-Feb-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Local Source Project,"Suspected US drone strike targets al Shabaab camp in Tortoorow. Two vehicles destroyed, casualties unknown.",0,0,
3-Feb-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Goobjoog,"Reports coming from Elwaq town, [Gedo region, southwestern Somalia] located on the Somali-Kenya border say Kenyan [military] helicopters carried out air strikes at an area known as Kalabayrka. The area is 8km from Elwaq town. No casualties reported, but following the air strikes [al Shabaab] fled the area.",0,0,
2-Feb-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dhobley,0.4063,41.0124,Local Source Project,Unknown warplanes conducted an airstrike against suspected al Shabaab location at weel-buraad grazing area (c. 35 km south east of Dhobley town). At least two missiles were fired at the targeted area. Casualties from the attack was unknown.,0,0,
20-Jan-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Local Source Project,Locals have reported the KDF of carrying out an airstrike in the vicinity of the town of Ceel Wak. A number of al Shabaab allegedly reside in the town. Causalities not known.,0,0,
18-Jan-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Agence France Presse,US forces conduct an air strike against al Shabaab forces 50 kilometres (30 miles) northwest of the port city of Kismayo on 18/01. Four reported deaths.,4,0,
17-Jan-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Jamaame,0.0692,42.7382,Local Source Project,"17th January, PM, Bar Sanguni, Jamaame, Lower Jubba: Unconfirmed reports have stated that a US airstrike has target an al Shabaab position. 11 believed dead. Following the strike US and Somali government forces raided the location.",11,0,
15-Jan-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Local Source Project,"15th January, PM, Ceel Wak, Gedo: Unconfirmed reports have claimed a possible airstrike (either US or Kenya, likely) has targeted an al Shabaab camp in the area of Ceel Wak. Outcome not known.",0,0,
12-Jan-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dif,0.9625,41.0616,Local Source Project,"12/01/18, Diif, Afmadow: Possible KDF airstrike carried out ivo Diif. Al Shabaab had gained control of the village the previous day. The outcome of the strike is not known.",0,0,
11-Jan-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dif,0.9625,41.0616,Local Source Project,Unknown warplane (likely Kenyan or US) conducted an airstrike against suspected al Shabaab locations at Dagmareer grazing area located east near Diif village (c. 65 km north east of Dhobley town). At least six missiles were fired which resulted in slight injuries to a civilian local pastoralist. The injured victim was taken to Diif for treatment.,0,0,
9-Jan-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Dhesheeg Waamo,-0.0011,42.4636,Local Source Project,Anti-al Shabaab forces (possibly either Kenyan or US) conducted an airstrike against an al Shabaab hideout location at Dhasheeg Waamo area (c. 55 km north of Kismayo town). Casualties from the attack could not be established at the time of reporting.,0,0,
9-Jan-18,2018,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Ceel Unkud,11.5157,51.1055,Local Source Project,"Anti-al Shabaab forces (not named, possibly US), in coordination with Puntland Security Forces, conducted air strikes against al Shabaab hideouts at Ceel Unkud area (c. 56 km south west of Bossaso). 12 al Shabaab fighters were killed.",12,0,
2-Jan-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Shaan,2.0283,44.8595,Local Source Project,"2nd December, AM, Shaan, Awdhagle, Lower Shabelle: Suspected U.S. airstrike targets possible Vehicle Borne Improvised Explosive Device (VBIED). Causality numbers at present are not known; a second source claims six al Shabaab deaths. The United States took responsibility the following day, asserting two al Shabaab dead.",2,0,
27-Dec-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,Associated Press,US air forces conduct an air strike against al Shabaab figures at a location 25 kilometres (15 miles) west of Mogadishu between Adow Dibille and Hawo Abdi area. The blast killed an estimated 4 and destroyed a truck carrying an explosive which was heading toward Mogadishu.,4,0,
24-Dec-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Shabelle Media Network (Mogadishu),"US air forces conduct an air strike against al Shabaab at a location known as Ball Raho, northeast of Kismayo. 13 reported fatalities. Two al Shabaab affiliated Kenyans were killed in the blast.",13,0,
15-Dec-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Beerhani,-0.2201,42.1959,Universal TV,"US air forces strike an al Shabaab location at Beerhani. The Somali military claimed 15 deaths. Radio Dalsan reports 12 dead, including two commanders.",15,0,
12-Dec-17,2017,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Qoryooley,Mubaarak,1.9167,44.7733,Radio Dalsam,Suspected US air forces launch an air strike against al Shabaab locations in Mubaarak. Causalities not known. The United States later denied involvement in the strike.,0,0,
6-Dec-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Furuqley,2.251,44.9259,Local Source Project; Garowe Online,"06th December, PM, Farsooley, Afgooye, Lower Shabelle: Unconfirmed reports have stated that an airstrike has targeted and destroyed a vehicle in an al Shabaab controlled settlement. Between 3-7 KIA. A secondary report claims 5 dead and that the strike occurred at Irmannley.",3,0,
27-Nov-17,2017,Remote violence,United States Forces,Islamic State (Somalia),Puntland,Bari,Qandala,Qandala,11.471,49.8726,Local Source Project,"27th November, 1500L, Bari: Press Release from U.S. Africa Command has stated they have carried out an airstrike against Islamic State (IS). The target is believed to be Abdulaziz Gurre, who was later confirmed dead. The attack was near Qandala.",1,0,
25-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Hosingow,-0.1734,41.2695,Alldhacdo,Suspected US forces strike a al Shabaab base in Hosingow. Causalities not known.,0,0,
21-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Bay,Buur Xakaba,Dolondole,3.2887,44.1307,Local Source Project,"Buur Ellaadhe, Buur Hakaba, Bay: Reports form U.S. Africa Command have stated that a U.S. air strike has been launched against al Shabaab at ivo Buur Ellaadhe. 100 al Shabaab believed dead. A second source states the attack occurred at nearby Doodaale. Al Shabaab later denied the air strike took place. However, locals account witnessing several loud sounds in the area.",100,0,
12-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,Agence France Presse,"Two additional US airstrikes are carried out against al Shabaab 'in the south' between the dates of 09/11 and 12/11. Causality figures are unknown in the two instances where the location is not known. The strike on 12/11 occurred in ""Lower Shabelle Region about 64 km west of the capital of Mogadishu."" Coded as remainder: 3",3,0,
12-Nov-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,Unidentified war planes conducted several air offensive operations at Sanguuni village (c. 50 km North East of Kismayo town). The planes destroyed several al Shabaab locations in the area. Al Shabaab fighters fled from the incident location towards Jamame/Kamasuma. Casualties could not be established at the time of reporting.,0,0,
12-Nov-17,2017,Remote violence,United States Forces,Islamic State (Somalia),Puntland,Bari,Qandala,Qandala,11.471,49.8726,Puntland Post,15 IS fighters are dead following a US drone strike 30km from Qandala on 12/11.,15,0,
12-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Mareerey,2.116,45.05,Local Source Project,"12 November US airstrike against an al Shabaab camp located near Mareerey, south-west of Jilib in Middle Jubba region. This strike had resulted in 81 casualties.",81,0,
11-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Qoryooley,Daarasalaam,1.9221,44.7871,Local Source Project,Anti-al Shabaab drones (likely US) conducted an airstrike against an al Shabaab base at Darasalam settlement village in Qoryoley district. Three civilian farmers were killed. Casualties of al Shabaab fighters could not be established at the time of reporting.,3,0,
11-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Basra,2.2991,45.2636,Local Source Project,"United States drone strikes were launched against al Shabaab in or near the village of Basra (possibly in nearby Mareerey). Casualty figures area unconfirmed but reports state at least 10 al Shabaab were killed. The Pentagon reports at least 36 al Shabaab dead in 5 airstrikes between 09/11 and 12/11, though the causality figure in this instance is not precisely known. Four of five strikes were conducted 'in the south' against al Shabaab. This attack may have occurred on 12/11.",10,0,
11-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Gedo,Bardera,Bulo Gudud,2.6333,42.2333,Hiiraan,US air strike against al Shabaab at Bulo Gudud. One causality reported.,1,0,
10-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,Hirshabelle,Shabeellaha Dhexe,Balcad,Balcad,2.39,45.3833,Dalsan Radio (Mogadishu); New York Times,"United States forces launched an air strike against al Shabaab in Bay Region, around 20 miles north of Mogadishu More than a dozen militants were killed. The Pentagon reports at least 36 al Shabaab dead in 5 airstrikes between 09/11 and 12/11, though the causality figure in this instance is not precisely known. Four of five strikes were conducted 'in the south' against al Shabaab.",12,0,
9-Nov-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Bay,Buur Xakaba,Buur Xakaba,2.8049,44.0821,Dalsan Radio (Mogadishu); New York Times,"The US on Thursday launched an airstrike in Somalia's Bay region killing several Al Shabaab militants. The attack occurred about 100 miles west of Mogadishu. The Pentagon reports 36 al Shabaab dead in 5 airstrikes between 09/11 and 12/11, though the causality figure in this instance is not precisely known. Four of five strikes were conducted 'in the south' against al Shabaab.",10,0,
9-Nov-17,2017,Remote violence,United States Forces,Islamic State (Somalia),Puntland,Bari,Qandala,Qandala,11.471,49.8726,Xinhua,United States forces carry out a drone strike against IS personnel 'in the northeast' (likely near Qandala) on 09/11. Four deaths reported.,4,0,
3-Nov-17,2017,Remote violence,United States Forces,Islamic State (Somalia),Puntland,Bari,Qandala,Qandala,11.471,49.8726,"Voice of America (Washington, DC)","US air assets target Islamic State (IS) positions in Buqa village, 60 kilometres south of Qandala. ""Several"" killed. This was the first known case of direct United States involvement against IS in Somalia. The target of the attack was Sheikh Abdulkadir Mumin. IS later claimed the target survived. The attack consisted of two strikes.",10,0,
27-Oct-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Saakow,Libaaxlow,1.5345,42.3398,Partner Database,"Unidentified warplanes conduct airstrike against al Shabaab positions, possibly HVT. Outcome and resulting casualty figures unknown.",0,0,
27-Oct-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dhasheq Wammo,-1.05,41.3667,Partner Database,KDF planes conduct an airstrike against al Shabaab positions in Dhasheq Wammo. Targeting grazing area whose access was restricted to local communities by al Shabaab. Causalities not known.,0,0,
20-Oct-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,Local Source Project,Reported drone strike in Lower Shabelle. Details limited.,0,0,
17-Oct-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Awdheegle,1.9833,44.8333,Radio Kulmiye,"Reports coming from Aw Degle area in Lower Shabelle region [southern Somalia] say [an] air strike hit a vehicle carrying al-Shabab officials and it has been reported that the bombardment killed the targeted officials, numbers not known. About four civilians sustained injuries and were referred to Daarul Shifa Hospital in Mogadishu for treatment. Attacking force not known - likely either US or Kenyan.",10,0,
16-Oct-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Awdheegle,1.9833,44.8333,Local Source Project; Partner Database,"US air assets conduct an airstrike against a convoy of al Shabaab fighters on 16/10. The result of the strike is not known. Later reports indicate both al Shabaab and civilian injuries. A second source claims ""high causalities.""",10,0,
15-Oct-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Bay,Baydhabo,Aawdiinle,3.1706,43.4099,Local Source Project,A reported drone strike has been carried out on a suspected al Shabaab convey at Bariirre and Aawdiinle on 15/10. Resulting causalities not known. The following day the United States announced greater involvement against al Shabaab in Somalia.,0,0,
9-Oct-17,2017,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Majiyahan,11.0248,48.9812,Local Source Project,Puntland forces launched an air strike against al Shabaab hideouts in Majiyahan area (c. 25 km South West of Bossaso). Initial reports indicated that 15 al Shabaab fighters were killed and 17 others were wounded. The attack as in conjunction with a US air strike.,15,0,
3-Oct-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Qoryooley,Mubaarak,1.9167,44.7733,Local Source Project; Partner Database,"Possible US drone strike against al Shabaab position at Turgarey, near Mubarak. Causalities not known.",0,0,
27-Sep-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Bardera,Baardheere,2.3399,42.286,Local Source Project,Unverified local reporting suggested 5 civilians were killed and six others injured during KDF airstrike on suspected al Shabaab positions on 27/09.,5,0,
26-Sep-17,2017,Remote violence,Kenya Defence Forces,Unidentified Group,Jubaland,Gedo,Bardera,Taraka,2.2614,41.8421,Local Source Project,"26th September, PM, Taraka, Gedo: Kenyan defence Force (KDF) airstrikes target the forward operating base at Taraka which Kenyan ground troops withdrew from on the PM of 25th September. Six civilians killed. It is believed KDF was attempting to destroy the base so it could not be utilised by al Shabaab.",6,1,
24-Sep-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project,"24th September, AM, Ceel Adde, Gedo: KDF airstrike carried out against al Shabaab camp allegedly used to train child soldiers. Four munitions reportedly hit the camp, casualties currently unknown.",0,0,
15-Sep-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Bay,Baydhabo,Baidoa,3.1172,43.6469,Long War Journal,"September, month of. US forces conduct an air strike against al Shabaab in Bay Region, location not known. Three reported fatalities.",3,0,
13-Sep-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Baraawe,Baraawe,1.1132,44.0297,Local Source Project,"Kunya-Barow, Baraawe Lower Shabelle region: US forces launched three drone strikes against al Shabaab camps. Six deaths reported.",6,0,
12-Sep-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Belet Xaawo,Belet Xaawo,3.7807,41.8943,Local Source Project,"Belet Xawo, Gedo region: Kenyan aircraft carried out two airstrikes against al Shabaab at Buursagar and Habar near Belet Xawo. 16 al Shabaab killed and 10 injured.",16,0,
7-Sep-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Baraawe,Baraawe,1.1132,44.0297,Local Source Project,US AFRICOM announces airstrike in support of Somali forces near Baraawe. At least one death. Intended target unknown.,1,0,
5-Sep-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Local Source Project,"5th September, 09:00LT, Tor Toorow, Lower Shabelle region: a United States drone strike targeted a convoy of al Shabaab. Three deaths reported, identities not known. Conflicting reports claim the strike occurred in Bay Region.",3,0,
1-Sep-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Local Source Project,"01st September, early AM, Jilib, Middle Jubba: a suspected United States (US) airstrike killed an al Shabaab leader. The target, Abdirrahman Jarat, was killed. Further damages not reported by source.",1,0,
1-Sep-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Baraawe,Baraawe,1.1132,44.0297,Voice of America,"An airstrike was conducted by suspected American drones at Kunya-Barow village (c. 75 Km West of Barawe district). Purportedly, at least three missiles were fired against an al Shabaab convoy transporting at least two senior al Shabaab officers. Five al Shabaab fighters, including a top official and ex-AS Governor of Jubba regions, were killed and three others injured.",5,0,
28-Aug-17,2017,Remote violence,Unknown,Islamic State (Somalia),Puntland,Bari,Calawla,Alula,11.9666,50.75,Local Source Project,"Early AM, Caluula, Bari: foreign fighter jets (identity not known) conducted an airstrike against suspected Islamic State positions.",0,0,
25-Aug-17,2017,Violence against civilians,United States Forces,Unidentified Group,South West,Shabeellaha Hoose,Afgooye,Bariirre,2.0476,44.8975,Associated Press,"A US drone strike targets a al Shabaab location 20km NW Bariire. Social media reports the strike killed between 9-10 civilians, though US AFRICOM denies this. The strike was in conjunction with a raid by Somali forces, which later reports indicate the civilans deaths occurred during the raid. Witnesses claim the civilian victims were ""shot one by one."" It is not known if the attack against civilian was intentional, or they were mistaken for combatants. The following day residents protested the violence. The US military has opened an investigation into the matter.",9,1,
18-Aug-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,Suspected Anti-al Shabaab forces (unknown identity) conducted an airstrike against al Shabaab hideout location at Wayaamo-Lo'aad grazing area (c. 90 km South West of Kismayo town). Casualties from attack remain unknown.,0,0,
17-Aug-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Local Source Project,"Early AM, Sheikh Ahmed Yare settlement (near Jilib), Middle Jubba: unverified social media reports suggested a suspected United States (US) drone strike had targeted a high- profile al Shabaab leader. The Somali government claims seven al Shabaab dead in the strike; others claim seven civilians dead.",7,0,
13-Aug-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"13 Aug, c. 1600 hrs. Suspected anti-al Shabaab forces (possibly American) conducted an airstrike against an al Shabaab hideout at Koban village area (c. 40 km North of Kismayo district). An al Shabaab Toyota pick- up with an unspecified number of al Shabaab fighters on board was destroyed.",10,0,
13-Aug-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Bay,Buur Xakaba,Buur Xakaba,2.8049,44.0821,Local Source Project,"AM, Buur Hakaba district, Bay: suspected US fighter jets conducted an airstrike against an al Shabaab high-value target (HVT) convoy. The outcome of the operation is not known.",0,0,
10-Aug-17,2017,Remote violence,United States Forces,Al Shabaab,Banadir,Banaadir,Mogadisho,Mogadishu,2.0414,45.3337,Associated Press,"U.S. military announced two new airstrikes against al-Shabab near Mogadishu. The operation killed a ""high level leader."" Other causalities not known. The airstrike took place on 10/08.",1,0,
10-Aug-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Weel Maro,0.4754,42.3015,Alldhacdo,"Early AM, Welmaro, Lower Jubba: Kenya Defence Force (KDF) aircraft conducted an airstrike against suspected al Shabaab positions. Al Shabaab causality figures not known. Local residents suggested the airstrike killed livestock and injured civilians.",0,0,
30-Jul-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Local Source Project,"AM, IVO Tortoorow, Lower Shabelle: the United States (US) Pentagon confirmed its fighter jets had conducted an airstrike against Ali Mohamed Hussein aka 'Ali Jabal/Ali Jesto', the al Shabaab shadow governor of Mogadishu, in the evening of 29th July. Subsequent reports indiciate the strike occured on 30/08. The US military later announced the strike was successful. Al Shabaab later confirmed this in late August 2017. It is not clear if other al Shabaab figures were present.",1,0,
29-Jul-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Karbis,3.5172,42.2341,Local Source Project; Partner Database,"Early AM, Kabis, Gedo: a KDF airstrike targeted an al Shabaab training camp. The outcome of the attack is not known. This event may have occurred on 30/07.",0,0,
22-Jul-17,2017,Battle-No change of territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Local Source Project,"Early AM, Tortoorow, Lower Shabelle: Somali 'Danab' commandos, allegedly supported by United States (US) mentors raided an al Shabaab target. It is believed air strikes were conducted to support the Somali forces. Outcome of the raid not known; no Somali troops were killed or injured, according to military sources.",0,0,
18-Jul-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Golasha Matrooba,-0.5462,41.6398,Local Source Project,"Early AM, Golosha Matrooba, Lower Jubba: Kenya Defence Force (KDF) fighter jets conducted an airstrike against suspected al Shabaab positions in the Golosha Mountains. Reports indicate the jets missed their targets, hitting a nearby settlement. At least four civilian deaths.",4,0,
17-Jul-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,Unknown war planes conducted airstrike at suspected al Shabaab location at Qabri shariif area (c. 70 km North East of Kismayo). Three people were killed and six others were injured as the result of the attack. The injured victims were taken to Kismayo hospital for medical treatment. All victims were reported to be local civilians.,3,0,
16-Jul-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Karbis,3.5172,42.2341,Local Source Project,"16 July, afternoon, Kabis, Gedo: Kenya Defence Force (KDF) fighter jets conducted an airstrike against a high value target (HVT) meeting. 40 al Shabaab reported dead.",40,0,
5-Jul-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Luglaaw,-0.2037,42.6044,Local Source Project; Partner Database,"Early AM, IVO Kismayo, Lower Jubba: a suspected United States (US) drone strike targeted a group of al Shabaab fighters at or near Luglaaw. Thirteen al Shabaab dead. Before the attack al Shabaab attacked a Jubaland base at Luglaaw. Causalities not known from the Jubaland attack.",13,0,
4-Jul-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Goob Weyn,-0.2488,42.6007,Local Source Project,"Following a clash between Jubaland forces and al Shabaab, air forces from unknown origin conducted an airstrike of al Shabaab locations in Gooib Weyn. Unspecified bodies of unknown number of al Shabaab elements were observed at the location because of the bombardment.",10,0,
4-Jul-17,2017,Battle-No change of territory,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Goob Weyn,-0.2488,42.6007,Local Source Project,"Jubaland Security Forces, on security patrol, clashed with al Shabaab at Gobweyn area (c. 15 km North East of Kismayo). There was a brief armed confrontation after which JSF retreated from the area. An airstrike from unknown origin was reported after JSF retreated. Information indicated that unspecified bodies of unknown number of al Shabaab elements were observed at the location because of the bombardment. There were no reports of casualties from JSF. Causalities from the airstrike not known.",0,0,
4-Jul-17,2017,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Badhaadhe,Badhaadhe,-1.0354,41.5005,Local Source Project,Unknown war planes conducted an airstrike targeting suspected al Shabaab positions at Wade grazing area (c. 10 km East of Badhaadhe town). Casualties could not be established at the time of reporting.,0,0,
2-Jul-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Kuunyo-Barrow,0.7946,43.3787,Local Source Project,"US forces conducted an air strike using drones near Kunya-Barow village (c. 75 km West of Barawe district). At least two missiles were fired at an al Shabaab convoy transporting at least two senior al Shabaab cadres. Five al Shabaab fighters, including two senior officers, were killed and seven others were injured.",5,0,
20-Jun-17,2017,Remote violence,Unknown,Unidentified Group,Somaliland,Awdal,Zeila,Saylac,11.3539,43.4731,Local Source Project,Unidentified air forces conducted an airstrike against an unidentified target in Saylac. Causalities not known.,0,0,
12-Jun-17,2017,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Bardera,Baardheere,2.3399,42.286,Local Source Project,"AM, Garas Dulan (near Baardheere), Gedo: Kenya Defence Force (KDF) fighter jets targeted al Shabaab positions. Three civilians were injured in the airstrike. Al Shabaab casualties could not be established at the time of reporting.",0,0,
11-Jun-17,2017,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Saakow,Saakow,1.6394,42.4522,Local Source Project,"11 June, early AM, Saakow, Middle Jubba: a suspected United States (US) airstrike targeted an al Shabaab training camp. Reports indicate Mahad Qallow aka ""Karate"" may have been killed in the raid, though no confirmation. Shabelle Media Network reports the camp was ""destroyed."" The Associated Press reported eight dead.",8,0,
11-Jun-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Marka,1.7131,44.7639,Telegram messaging service in Arabic 0901 gmt 11 Jun 17,The United States carried out airstrikes against al Shabaab positions in Lower Shabelle. Location and subsequent casualties not known.,0,0,
10-Jun-17,2017,Battle-No change of territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Tortoroow,2.2524,44.6905,Radio Kulmiye; Shabelle Media Network (Mogadishu),"United States aircraft carry out a strike on an al Shabaab position at Tortoroow. The result of the strike is not known. During the strike, or soon after, al Shabaab and government forces engaged in battle at the location resulting in 10 dead from both sides.",10,0,
6-Jun-17,2017,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Ceel Shiikh,1.4952,44.4709,Local Source Project,US warplanes conduct an air strike against al Shabaab forces at Ceel Saliini. Causalities not known.,0,0,
